WCRNumber,CountyName,WellLocation,Township,Range,Section,MTRS,TotalCompletedDepth,PlannedUseFormerUse,PermitDate,latitude,longitude,coord_source,pdf_latitude,pdf_longitude,gis_latitude,gis_longitude,pdf_path,box_link,gsa_name
WCR2025-002338,Kings,,18S,20E,28,M18S20E28,28.0,Water Supply Domestic,1721606400000,36.338648,-119.806837,gis,,,36.338648,-119.806837,,,South Fork Kings GSA
WCR0000608,Kings,,18S,20E,35,M18S20E35,,Other Unknown,,36.32085,-119.77177,gis,,,36.32085,-119.77177,pdfs/WCR0000608.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461603155425,South Fork Kings GSA
WCR0003000,Kings,,18S,20E,20,M18S20E20,40.0,Water Supply Domestic,,36.35033,-119.82577,gis,,,36.35033,-119.82577,pdfs/WCR0003000.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461589315377,South Fork Kings GSA
WCR0003747,Kings,,18S,20E,17,M18S20E17,58.0,Water Supply Industrial,,36.36549,-119.8255,gis,,,36.36549,-119.8255,pdfs/WCR0003747.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461601338352,South Fork Kings GSA
WCR0003748,Kings,,18S,20E,17,M18S20E17,56.0,Other,,36.36549,-119.8255,gis,,,36.36549,-119.8255,pdfs/WCR0003748.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461602284042,South Fork Kings GSA
WCR0003750,Kings,,18S,20E,22,M18S20E22,44.0,Water Supply Irrigation - Agriculture,,36.34989,-119.78986,gis,,,36.34989,-119.78986,pdfs/WCR0003750.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461591144891,South Fork Kings GSA
WCR0004678,Kings,,19S,19E,24,M19S19E24,515.0,Water Supply Domestic,,36.26258,-119.86019,gis,,,36.26258,-119.86019,pdfs/WCR0004678.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461640813879,South Fork Kings GSA
WCR0004688,Kings,,18S,20E,32,M18S20E32,46.0,Water Supply Domestic,,36.3208,-119.82558,gis,,,36.3208,-119.82558,pdfs/WCR0004688.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461591134300,South Fork Kings GSA
WCR0006297,Kings,,18S,20E,28,M18S20E28,,Water Supply Domestic,,36.34174038,-119.80889525,gis,,,36.34174038,-119.80889525,pdfs/WCR0006297.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461592313677,South Fork Kings GSA
WCR0006221,Kings,,18S,20E,29,M18S20E29,,,,36.33542,-119.82575,gis,,,36.33542,-119.82575,,,South Fork Kings GSA
WCR0016525,Kings,,18S,20E,16,M18S20E16,400.0,Other Unknown,,36.36507,-119.80782,gis,,,36.36507,-119.80782,pdfs/WCR0016525.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461601319152,South Fork Kings GSA
WCR0017880,Kings,,18S,20E,01,M18S20E01,,Water Supply Irrigation - Agriculture,,36.39401,-119.75394,gis,,,36.39401,-119.75394,pdfs/WCR0017880.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461589027395,South Fork Kings GSA
WCR0017883,Kings,,18S,20E,11,M18S20E11,407.0,Water Supply Irrigation - Agriculture,,36.37965,-119.77188,gis,,,36.37965,-119.77188,pdfs/WCR0017883.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461593936278,South Fork Kings GSA
WCR0017884,Kings,,18S,20E,13,M18S20E13,360.0,Water Supply Irrigation - Agriculture,,36.36449,-119.75401,gis,,,36.36449,-119.75401,pdfs/WCR0017884.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461602436911,South Fork Kings GSA
WCR0018064,Kings,,19S,20E,12,M19S20E12,63.0,Water Supply Irrigation - Agriculture,,36.29116,-119.75381,gis,,,36.29116,-119.75381,pdfs/WCR0018064.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461640833859,South Fork Kings GSA
WCR0017894,Kings,,18S,20E,25,M18S20E25,55.0,Water Supply Domestic,,36.33534,-119.7538,gis,,,36.33534,-119.7538,pdfs/WCR0017894.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461599269625,South Fork Kings GSA
WCR0019370,Kings,,18S,20E,27,M18S20E27,154.0,Water Supply Domestic,,36.33543,-119.7898,gis,,,36.33543,-119.7898,pdfs/WCR0019370.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461600608421,South Fork Kings GSA
WCR0018793,Kings,,18S,20E,16,M18S20E16,200.0,Water Supply Domestic,,36.36507,-119.80782,gis,,,36.36507,-119.80782,pdfs/WCR0018793.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461600755173,South Fork Kings GSA
WCR0018794,Kings,,18S,20E,17,M18S20E17,,,,36.36549,-119.8255,gis,,,36.36549,-119.8255,,,South Fork Kings GSA
WCR0019417,Kings,,18S,20E,17,M18S20E17,180.0,Water Supply Domestic,,36.36549,-119.8255,gis,,,36.36549,-119.8255,pdfs/WCR0019417.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461589126530,South Fork Kings GSA
WCR0020253,Kings,,18S,20E,11,M18S20E11,773.0,Water Supply Public,,36.0,-119.0,gis,,,36.0,-119.0,pdfs/WCR0020253.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461591448643,South Fork Kings GSA
WCR0020078,Kings,,18S,20E,17,M18S20E17,100.0,Water Supply Irrigation - Agriculture,,36.36549,-119.8255,gis,,,36.36549,-119.8255,pdfs/WCR0020078.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461591127701,South Fork Kings GSA
WCR0020504,Kings,,19S,20E,13,M19S20E13,55.0,Water Supply Domestic,,36.27667,-119.75382,gis,,,36.27667,-119.75382,pdfs/WCR0020504.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461637830527,South Fork Kings GSA
WCR0021324,Kings,,18S,20E,26,M18S20E26,200.0,Water Supply Domestic,,36.33543,-119.77181,gis,,,36.33543,-119.77181,pdfs/WCR0021324.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461594508950,South Fork Kings GSA
WCR0021325,Kings,,18S,20E,27,M18S20E27,58.0,Water Supply Irrigation - Agriculture,,36.33543,-119.7898,gis,,,36.33543,-119.7898,pdfs/WCR0021325.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461591711190,South Fork Kings GSA
WCR0026633,Kings,,18S,20E,02,M18S20E02,61.0,Water Supply Domestic,,36.39488,-119.77178,gis,,,36.39488,-119.77178,pdfs/WCR0026633.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461598929706,South Fork Kings GSA
WCR0030114,Kings,,19S,20E,13,M19S20E13,40.0,Water Supply Irrigation - Agriculture,,36.27667,-119.75382,gis,,,36.27667,-119.75382,pdfs/WCR0030114.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461641286865,South Fork Kings GSA
WCR0030434,Kings,,18S,20E,26,M18S20E26,200.0,Water Supply Domestic,,36.33825125,-119.78009184,gis,,,36.33825125,-119.78009184,pdfs/WCR0030434.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461592299277,South Fork Kings GSA
WCR0030888,Kings,,18S,21E,18,M18S21E18,61.0,Water Supply Irrigation - Agriculture,,36.36449,-119.73598,gis,,,36.36449,-119.73598,pdfs/WCR0030888.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461606380190,South Fork Kings GSA
WCR0031048,Kings,,18S,20E,13,M18S20E13,180.0,Water Supply Domestic,,36.36449,-119.75401,gis,,,36.36449,-119.75401,pdfs/WCR0031048.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461589234790,South Fork Kings GSA
WCR0031862,Kings,,18S,20E,35,M18S20E35,60.0,Water Supply Irrigation - Agriculture,,36.32085,-119.77177,gis,,,36.32085,-119.77177,pdfs/WCR0031862.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461603533466,South Fork Kings GSA
WCR0032500,Kings,,18S,21E,18,M18S21E18,68.0,Water Supply Irrigation - Agriculture,,36.35808856,-119.72942682,gis,,,36.35808856,-119.72942682,pdfs/WCR0032500.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461602701169,South Fork Kings GSA
WCR0032991,Kings,,18S,20E,27,M18S20E27,63.0,Water Supply Irrigation - Agriculture,,36.33543,-119.7898,gis,,,36.33543,-119.7898,pdfs/WCR0032991.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461603349866,South Fork Kings GSA
WCR0033082,Kings,,18S,20E,12,M18S20E12,50.0,Water Supply Irrigation - Agriculture,,36.3793,-119.75404,gis,,,36.3793,-119.75404,pdfs/WCR0033082.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461601185404,South Fork Kings GSA
WCR0033087,Kings,,18S,20E,20,M18S20E20,43.0,Water Supply Domestic,,36.35033,-119.82577,gis,,,36.35033,-119.82577,pdfs/WCR0033087.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461591144112,South Fork Kings GSA
WCR0033636,Kings,,18S,20E,17,M18S20E17,160.0,Water Supply Domestic,,36.36549,-119.8255,gis,,,36.36549,-119.8255,pdfs/WCR0033636.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461593550073,South Fork Kings GSA
WCR0034229,Kings,,18S,21E,19,M18S21E19,755.0,Water Supply Irrigation - Agriculture,,36.34988,-119.73592,gis,,,36.34988,-119.73592,pdfs/WCR0034229.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461605919147,South Fork Kings GSA
WCR0033930,Kings,,18S,20E,34,M18S20E34,40.0,Water Supply Irrigation - Agriculture,,36.32083,-119.78975,gis,,,36.32083,-119.78975,pdfs/WCR0033930.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461600318771,South Fork Kings GSA
WCR0037520,Kings,,18S,20E,15,M18S20E15,,Water Supply Irrigation - Agriculture,,36.36476,-119.78997,gis,,,36.36476,-119.78997,pdfs/WCR0037520.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461592999412,South Fork Kings GSA
WCR0037521,Kings,,18S,20E,17,M18S20E17,375.0,Water Supply Public,,36.36549,-119.8255,gis,,,36.36549,-119.8255,pdfs/WCR0037521.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461599276859,South Fork Kings GSA
WCR0038044,Kings,,18S,20E,33,M18S20E33,55.0,Water Supply Irrigation - Agriculture,,36.32079,-119.80768,gis,,,36.32079,-119.80768,pdfs/WCR0038044.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461601492170,South Fork Kings GSA
WCR0038254,Kings,,18S,20E,26,M18S20E26,200.0,Water Supply Domestic,,36.33007055,-119.77237711,gis,,,36.33007055,-119.77237711,pdfs/WCR0038254.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461591863138,South Fork Kings GSA
WCR0038274,Kings,,19S,20E,11,M19S20E11,195.0,Water Supply Domestic,,36.28839673,-119.76968861,gis,,,36.28839673,-119.76968861,pdfs/WCR0038274.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461641316911,South Fork Kings GSA
WCR0041619,Kings,,18S,20E,17,M18S20E17,175.0,Water Supply Domestic,,36.36549,-119.8255,gis,,,36.36549,-119.8255,pdfs/WCR0041619.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461603349425,South Fork Kings GSA
WCR0041639,Kings,,18S,20E,14,M18S20E14,65.0,Water Supply Irrigation - Agriculture,,36.36448,-119.77201,gis,,,36.36448,-119.77201,pdfs/WCR0041639.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461588436093,South Fork Kings GSA
WCR0041652,Kings,,18S,20E,31,M18S20E31,980.0,Water Supply Irrigation - Agriculture,,36.32081,-119.84288,gis,,,36.32081,-119.84288,pdfs/WCR0041652.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461601971041,South Fork Kings GSA
WCR0048022,Kings,,18S,20E,26,M18S20E26,,,,36.33543,-119.77181,gis,,,36.33543,-119.77181,,,South Fork Kings GSA
WCR0048581,Kings,,18S,20E,17,M18S20E17,100.0,Water Supply Domestic,,36.36549,-119.8255,gis,,,36.36549,-119.8255,pdfs/WCR0048581.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461591601048,South Fork Kings GSA
WCR0050040,Kings,,18S,21E,19,M18S21E19,175.0,Water Supply Irrigation - Agriculture,,36.34988,-119.73592,gis,,,36.34988,-119.73592,pdfs/WCR0050040.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461594418316,South Fork Kings GSA
WCR0051261,Kings,,18S,20E,22,M18S20E22,61.0,Water Supply Irrigation - Agriculture,,36.34989,-119.78986,gis,,,36.34989,-119.78986,pdfs/WCR0051261.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461591650821,South Fork Kings GSA
WCR0051262,Kings,,18S,20E,27,M18S20E27,68.0,Other Unknown,,36.33543,-119.7898,gis,,,36.33543,-119.7898,pdfs/WCR0051262.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461591472074,South Fork Kings GSA
WCR0051268,Kings,,18S,20E,30,M18S20E30,45.0,Water Supply Irrigation - Agriculture,,36.3358,-119.84293,gis,,,36.3358,-119.84293,pdfs/WCR0051268.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461589911394,South Fork Kings GSA
WCR0057486,Kings,,18S,20E,17,M18S20E17,60.0,Water Supply Irrigation - Agriculture,,36.36458986,-119.82272844,gis,,,36.36458986,-119.82272844,pdfs/WCR0057486.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461602737708,South Fork Kings GSA
WCR0057317,Kings,,18S,20E,33,M18S20E33,54.0,Water Supply Irrigation - Agriculture,,36.32079,-119.80768,gis,,,36.32079,-119.80768,pdfs/WCR0057317.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461591722217,South Fork Kings GSA
WCR0058682,Kings,,19S,20E,14,M19S20E14,55.0,Water Supply Domestic,,36.26967649,-119.7720563,gis,,,36.26967649,-119.7720563,pdfs/WCR0058682.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461640891759,South Fork Kings GSA
WCR0060806,Kings,,19S,20E,13,M19S20E13,57.0,Water Supply Irrigation - Agriculture,,36.27098241,-119.76015105,gis,,,36.27098241,-119.76015105,pdfs/WCR0060806.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461641405826,South Fork Kings GSA
WCR0061265,Kings,,19S,20E,14,M19S20E14,40.0,Water Supply Irrigation - Agriculture,,36.27658,-119.77197,gis,,,36.27658,-119.77197,pdfs/WCR0061265.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461640841560,South Fork Kings GSA
WCR0062520,Kings,,18S,20E,20,M18S20E20,130.0,Water Supply Domestic,,36.35033,-119.82577,gis,,,36.35033,-119.82577,pdfs/WCR0062520.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461599972692,South Fork Kings GSA
WCR0062521,Kings,,18S,20E,29,M18S20E29,,Other Unknown,,36.33542,-119.82575,gis,,,36.33542,-119.82575,pdfs/WCR0062521.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461599337002,South Fork Kings GSA
WCR0063656,Kings,,19S,20E,10,M19S20E10,50.0,Water Supply Irrigation - Agriculture,,36.29108,-119.78989,gis,,,36.29108,-119.78989,pdfs/WCR0063656.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461638593916,South Fork Kings GSA
WCR0063754,Kings,,19S,20E,13,M19S20E13,,,,36.27667,-119.75382,gis,,,36.27667,-119.75382,,,South Fork Kings GSA
WCR0063397,Kings,,18S,20E,20,M18S20E20,180.0,Water Supply Domestic,,36.35033,-119.82577,gis,,,36.35033,-119.82577,pdfs/WCR0063397.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461591689599,South Fork Kings GSA
WCR0065158,Kings,,18S,20E,01,M18S20E01,160.0,Water Supply Domestic,,36.3964163,-119.74518007,gis,,,36.3964163,-119.74518007,pdfs/WCR0065158.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461602539098,South Fork Kings GSA
WCR0065159,Kings,,19S,20E,14,M19S20E14,57.0,Water Supply Domestic,,36.26998169,-119.76333086,gis,,,36.26998169,-119.76333086,pdfs/WCR0065159.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461641339928,South Fork Kings GSA
WCR0068177,Kings,,18S,21E,19,M18S21E19,70.0,Water Supply Irrigation - Agriculture,,36.34988,-119.73592,gis,,,36.34988,-119.73592,pdfs/WCR0068177.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461595989670,South Fork Kings GSA
WCR0069263,Kings,,18S,20E,21,M18S20E21,520.0,Water Supply Irrigation - Agriculture,,36.34989,-119.80797,gis,,,36.34989,-119.80797,pdfs/WCR0069263.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461590220982,South Fork Kings GSA
WCR0071126,Kings,,19S,20E,14,M19S20E14,63.0,Water Supply Domestic,,36.27548413,-119.76378011,gis,,,36.27548413,-119.76378011,pdfs/WCR0071126.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461641396970,South Fork Kings GSA
WCR0071175,Kings,,18S,20E,30,M18S20E30,50.0,Water Supply Irrigation - Agriculture,,36.3358,-119.84293,gis,,,36.3358,-119.84293,pdfs/WCR0071175.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461602480793,South Fork Kings GSA
WCR0071045,Kings,,19S,20E,14,M19S20E14,180.0,Water Supply Domestic,,36.28266773,-119.76569593,gis,,,36.28266773,-119.76569593,pdfs/WCR0071045.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461637844515,South Fork Kings GSA
WCR0072115,Kings,,19S,20E,14,M19S20E14,560.0,Water Supply Irrigation - Agriculture,,36.27658,-119.77197,gis,,,36.27658,-119.77197,pdfs/WCR0072115.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461641425890,South Fork Kings GSA
WCR0074551,Kings,,18S,20E,17,M18S20E17,207.0,Water Supply Domestic,,36.3609055,-119.81960605,gis,,,36.3609055,-119.81960605,pdfs/WCR0074551.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461591090112,South Fork Kings GSA
WCR0074943,Kings,,19S,20E,14,M19S20E14,220.0,Water Supply Domestic,,36.28318725,-119.76792183,gis,,,36.28318725,-119.76792183,pdfs/WCR0074943.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461641438097,South Fork Kings GSA
WCR0076138,Kings,,18S,20E,34,M18S20E34,220.0,Water Supply Domestic,,36.32714239,-119.7897737,gis,,,36.32714239,-119.7897737,pdfs/WCR0076138.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461600271492,South Fork Kings GSA
WCR0076329,Kings,,19S,20E,13,M19S20E13,65.0,Water Supply Irrigation - Agriculture,,36.27667,-119.75382,gis,,,36.27667,-119.75382,pdfs/WCR0076329.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461637774631,South Fork Kings GSA
WCR0078484,Kings,,19S,20E,13,M19S20E13,42.0,Water Supply Domestic,,36.27667,-119.75382,gis,,,36.27667,-119.75382,pdfs/WCR0078484.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461641391186,South Fork Kings GSA
WCR0078714,Kings,,18S,20E,13,M18S20E13,224.0,Water Supply Domestic,,36.36449,-119.75401,gis,,,36.36449,-119.75401,pdfs/WCR0078714.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461600683479,South Fork Kings GSA
WCR0079577,Kings,,18S,21E,07,M18S21E07,59.0,Water Supply Domestic,,36.37925,-119.73594,gis,,,36.37925,-119.73594,pdfs/WCR0079577.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461599800059,South Fork Kings GSA
WCR0081152,Kings,,18S,20E,16,M18S20E16,,,,36.36507,-119.80782,gis,,,36.36507,-119.80782,pdfs/WCR0081152.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461600606577,South Fork Kings GSA
WCR0082498,Kings,,19S,19E,02,M19S19E02,,Test Well,,36.413333333333334,-119.94333333333334,ocr,36.413333333333334,-119.94333333333334,36.30637,-119.87811,pdfs/WCR0082498.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461639621896,South Fork Kings GSA
WCR0082789,Kings,,18S,20E,17,M18S20E17,283.0,Cathodic Protection,,36.36549,-119.8255,gis,,,36.36549,-119.8255,pdfs/WCR0082789.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461591098117,South Fork Kings GSA
WCR0082862,Kings,,18S,20E,20,M18S20E20,420.0,Water Supply Irrigation - Agriculture,,36.35033,-119.82577,gis,,,36.35033,-119.82577,pdfs/WCR0082862.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461601287149,South Fork Kings GSA
WCR0085060,Kings,,18S,20E,33,M18S20E33,,,,36.32079,-119.80768,gis,,,36.32079,-119.80768,pdfs/WCR0085060.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461594708242,South Fork Kings GSA
WCR0087254,Kings,,18S,20E,16,M18S20E16,215.0,Water Supply Domestic,,36.36481629,-119.81490224,gis,,,36.36481629,-119.81490224,pdfs/WCR0087254.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461588144695,South Fork Kings GSA
WCR0087267,Kings,,18S,21E,19,M18S21E19,800.0,Water Supply Irrigation - Agriculture,,36.34988,-119.73592,gis,,,36.34988,-119.73592,pdfs/WCR0087267.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461602381402,South Fork Kings GSA
WCR0087272,Kings,,18S,20E,16,M18S20E16,60.0,Water Supply Irrigation - Agriculture,,36.36507,-119.80782,gis,,,36.36507,-119.80782,pdfs/WCR0087272.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461600121399,South Fork Kings GSA
WCR0087622,Kings,,19S,19E,02,M19S19E02,540.0,Water Supply Irrigation - Agriculture,,36.30637,-119.87811,gis,,,36.30637,-119.87811,pdfs/WCR0087622.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461640885708,South Fork Kings GSA
WCR0089151,Kings,,19S,20E,14,M19S20E14,56.0,Water Supply Irrigation - Agriculture,,36.27658,-119.77197,gis,,,36.27658,-119.77197,pdfs/WCR0089151.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461636523377,South Fork Kings GSA
WCR0089181,Kings,,18S,20E,12,M18S20E12,180.0,Water Supply Domestic,,36.3793,-119.75404,gis,,,36.3793,-119.75404,pdfs/WCR0089181.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461602865390,South Fork Kings GSA
WCR0089187,Kings,,18S,20E,28,M18S20E28,1160.0,Water Supply Domestic,,36.33536,-119.80779,gis,,,36.33536,-119.80779,pdfs/WCR0089187.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461603509498,South Fork Kings GSA
WCR0089188,Kings,,18S,20E,29,M18S20E29,,Water Supply Domestic,,36.33542,-119.82575,gis,,,36.33542,-119.82575,pdfs/WCR0089188.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461601462948,South Fork Kings GSA
WCR0089189,Kings,,18S,20E,30,M18S20E30,44.0,Water Supply Irrigation - Agriculture,,36.3358,-119.84293,gis,,,36.3358,-119.84293,pdfs/WCR0089189.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461602458728,South Fork Kings GSA
WCR0089431,Kings,,18S,20E,34,M18S20E34,180.0,Water Supply Domestic,,36.32083,-119.78975,gis,,,36.32083,-119.78975,pdfs/WCR0089431.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461603466555,South Fork Kings GSA
WCR0090235,Kings,,18S,20E,13,M18S20E13,61.0,Water Supply Irrigation - Agriculture,,36.36449,-119.75401,gis,,,36.36449,-119.75401,pdfs/WCR0090235.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461591425675,South Fork Kings GSA
WCR0090236,Kings,,18S,20E,17,M18S20E17,40.0,Water Supply Irrigation - Agriculture,,36.36549,-119.8255,gis,,,36.36549,-119.8255,pdfs/WCR0090236.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461591049344,South Fork Kings GSA
WCR0090771,Kings,,18S,20E,35,M18S20E35,25.0,Monitoring,,36.32085,-119.77177,gis,,,36.32085,-119.77177,pdfs/WCR0090771.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461600330771,South Fork Kings GSA
WCR0091307,Kings,,19S,20E,14,M19S20E14,60.0,Water Supply Domestic,,36.27021012,-119.77973034,gis,,,36.27021012,-119.77973034,pdfs/WCR0091307.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461638035621,South Fork Kings GSA
WCR0092729,Kings,,19S,20E,11,M19S20E11,40.0,Water Supply Domestic,,36.28511568,-119.77169069,gis,,,36.28511568,-119.77169069,pdfs/WCR0092729.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461639046671,South Fork Kings GSA
WCR0094655,Kings,,18S,20E,12,M18S20E12,,,,36.3793,-119.75404,gis,,,36.3793,-119.75404,pdfs/WCR0094655.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461603717731,South Fork Kings GSA
WCR0094667,Kings,,18S,20E,27,M18S20E27,,,,36.33543,-119.7898,gis,,,36.33543,-119.7898,pdfs/WCR0094667.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461591239552,South Fork Kings GSA
WCR0098535,Kings,,18S,20E,28,M18S20E28,55.0,Water Supply Irrigation - Agriculture,,36.33536,-119.80779,gis,,,36.33536,-119.80779,pdfs/WCR0098535.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461599824198,South Fork Kings GSA
WCR0101063,Kings,,18S,20E,30,M18S20E30,40.0,Water Supply Irrigation - Agriculture,,36.33791485,-119.84314531,gis,,,36.33791485,-119.84314531,pdfs/WCR0101063.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461591092973,South Fork Kings GSA
WCR0101911,Kings,,19S,20E,12,M19S20E12,200.0,Water Supply Domestic,,36.29116,-119.75381,gis,,,36.29116,-119.75381,pdfs/WCR0101911.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461641379125,South Fork Kings GSA
WCR0101569,Fresno,,17S,20E,36,M17S20E36,69.0,Water Supply Irrigation - Agriculture,,36.40959,-119.75667,gis,,,36.40959,-119.75667,pdfs/WCR0101569.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461103540181,South Fork Kings GSA
WCR0101889,Kings,,18S,20E,17,M18S20E17,200.0,Water Supply Domestic,,36.36549,-119.8255,gis,,,36.36549,-119.8255,pdfs/WCR0101889.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461601656337,South Fork Kings GSA
WCR0102519,Kings,,19S,20E,13,M19S20E13,50.0,Water Supply Irrigation - Agriculture,,36.27667,-119.75382,gis,,,36.27667,-119.75382,pdfs/WCR0102519.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461615003272,South Fork Kings GSA
WCR0102065,Kings,,18S,20E,25,M18S20E25,520.0,Water Supply Irrigation - Agriculture,,36.33534,-119.7538,gis,,,36.33534,-119.7538,pdfs/WCR0102065.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461602664211,South Fork Kings GSA
WCR0104404,Kings,,18S,20E,15,M18S20E15,64.0,Water Supply Irrigation - Agriculture,,36.36476,-119.78997,gis,,,36.36476,-119.78997,pdfs/WCR0104404.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461600149451,South Fork Kings GSA
WCR0104412,Kings,,18S,20E,23,M18S20E23,300.0,Water Supply Domestic,,36.3499,-119.77188,gis,,,36.3499,-119.77188,pdfs/WCR0104412.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461599041458,South Fork Kings GSA
