WCRNumber,CountyName,WellLocation,Township,Range,Section,MTRS,TotalCompletedDepth,PlannedUseFormerUse,PermitDate,latitude,longitude,coord_source,pdf_latitude,pdf_longitude,gis_latitude,gis_longitude,pdf_path,box_link,gsa_name
WCR0173591,Kings,,19S,20E,24,M19S20E24,123.0,Water Supply Domestic,,36.26208,-119.75375,gis,,,36.26208,-119.75375,pdfs/WCR0173591.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461641608225,South Fork Kings GSA
WCR0174176,Kings,,20S,20E,13,M20S20E13,720.0,Water Supply Public,,36.18923,-119.75345,gis,,,36.18923,-119.75345,pdfs/WCR0174176.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461643941532,South Fork Kings GSA
WCR0174456,Kings,,19S,20E,23,M19S20E23,,,,36.26198,-119.77192,gis,,,36.26198,-119.77192,,,South Fork Kings GSA
WCR0178222,Kings,,20S,20E,12,M20S20E12,72.0,Water Supply Irrigation - Agriculture,,36.20385,-119.75339,gis,,,36.20385,-119.75339,pdfs/WCR0178222.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461638020505,South Fork Kings GSA
WCR0182835,Kings,,19S,20E,03,M19S20E03,25.0,,,36.30586,-119.78979,gis,,,36.30586,-119.78979,pdfs/WCR0182835.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461640755459,South Fork Kings GSA
WCR0182836,Kings,,19S,20E,03,M19S20E03,21.5,,,36.30586,-119.78979,gis,,,36.30586,-119.78979,pdfs/WCR0182836.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461638557916,South Fork Kings GSA
WCR0186244,Kings,,19S,20E,03,M19S20E03,,Unknown Unknown,,36.30586,-119.78979,gis,,,36.30586,-119.78979,pdfs/WCR0186244.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461639693959,South Fork Kings GSA
WCR0186489,Kings,,19S,20E,29,M19S20E29,,Unknown Unknown,,36.24782,-119.82545,gis,,,36.24782,-119.82545,pdfs/WCR0186489.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461621225622,South Fork Kings GSA
WCR0187402,Kings,,19S,20E,22,M19S20E22,102.0,Water Supply Domestic,,36.26203,-119.78988,gis,,,36.26203,-119.78988,pdfs/WCR0187402.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461641448045,South Fork Kings GSA
WCR0187403,Kings,,19S,20E,25,M19S20E25,,,,36.24737,-119.7537,gis,,,36.24737,-119.7537,,,South Fork Kings GSA
WCR0185177,Kings,,19S,20E,02,M19S20E02,25.0,Vapor Extraction Unknown,,36.30587,-119.7718,gis,,,36.30587,-119.7718,pdfs/WCR0185177.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461641028352,South Fork Kings GSA
WCR0190365,Kings,,20S,20E,13,M20S20E13,720.0,Water Supply Irrigation - Agriculture,,36.18923,-119.75345,gis,,,36.18923,-119.75345,pdfs/WCR0190365.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461640567658,South Fork Kings GSA
WCR0189151,Kings,,19S,20E,29,M19S20E29,,,,36.24782,-119.82545,gis,,,36.24782,-119.82545,pdfs/WCR0189151.pdf,https://cadwr.app.box.com/v/WellCompletionReports/file/461639872142,South Fork Kings GSA
WCR0191072,Kings,,19S,20E,24,M19S20E24,518.0,Water Supply Irrigation - Agriculture,,36.26208,-119.75375,gis,,,36.26208,-119.75375,,,South Fork Kings GSA
WCR0191073,Kings,,19S,20E,26,M19S20E26,,Water Supply Domestic,,36.24732,-119.7718,gis,,,36.24732,-119.7718,,,South Fork Kings GSA
WCR0191074,Kings,,19S,20E,26,M19S20E26,,Water Supply Domestic,,36.24732,-119.7718,gis,,,36.24732,-119.7718,,,South Fork Kings GSA
